"","Plant","ExpLoc","ID","Site","Couple","Sex","Cohort","NumButterflies","EnclCol","EnclID","FlowerHeads","EmergDate","DateWeighed","TrialDay","Weight","OrigWeight","Feeding","Notes","ForewingLength","ForewingDamage","SurfaceArea","TotalSA"
"74","EutMac","Field","VH21","VH",NA,"M","BF",1,"FBlack","JPB",NA,246,246,0,0.5852,0.5852,"N","",49,"N",5250.43384620175,NA
"75","EutMac","Field","MVD10",NA,"MVD","F","AF",2,"FBlack","JPA",13,237,238,1,0.4375,0.4991,"N","",47,"N",5250.43384620175,68255.6400006227
"76","EutMac","Field","TWA1",NA,"TWA","F","AF",2,"FBlack","JPC",10,239,239,0,0.5292,0.5292,"N","",46,"N",5250.43384620175,52504.3384620175
"77","EutMac","Field","VH21","VH",NA,"M","BF",1,"FBlack","JPB",NA,246,253,7,0.3737,0.5852,"N","",49,"N",5250.43384620175,NA
"78","EutMac","Field","Jacob9",NA,"Jacob","F","AF",2,"FBlack","JPC",10,239,246,7,0.2792,0.4325,"Y","",44,"N",5250.43384620175,52504.3384620175
"79","EutMac","Field","VH10","VH",NA,"F","BF",2,"FBlack","JPA",14,244,245,1,0.5521,0.5959,"N","",51,"N",5250.43384620175,73506.0738468244
"80","EutMac","Field","VH17","VH",NA,"F","BF",1,"FBlack","JPC",14,246,247,1,0.4712,0.5321,"N","",48,"N",5250.43384620175,73506.0738468244
"81","EutMac","Field","VH21","VH",NA,"M","BF",1,"FBlack","JPB",NA,246,251,5,0.4154,0.5852,"N","",49,"N",5250.43384620175,NA
"82","EutMac","Field","VH17","VH",NA,"F","BF",1,"FBlack","JPC",14,246,253,7,0.3795,0.5321,"N","",48,"N",5250.43384620175,73506.0738468244
"83","EutMac","Field","MVD2",NA,"MVD","F","AF",2,"FBlack","JPB",12,238,239,1,0.4325,0.5062,"N","",49,"N",5250.43384620175,63005.206154421
"84","EutMac","Field","MVD2",NA,"MVD","F","AF",2,"FBlack","JPB",12,238,243,5,0.3934,0.5062,"N","",49,"N",5250.43384620175,63005.206154421
"85","EutMac","Field","TWA17",NA,"TWA","F","AF",2,"FBlack","JPA",13,237,237,0,0.4956,0.4956,"N","",46,"N",5250.43384620175,68255.6400006227
"86","EutMac","Field","MVD2",NA,"MVD","F","AF",2,"FBlack","JPB",12,238,245,7,0.3763,0.5062,"N","",49,"N",5250.43384620175,63005.206154421
"87","EutMac","Field","Jacob9",NA,"Jacob","F","AF",2,"FBlack","JPC",10,239,244,5,0.3171,0.4325,"Y","",44,"N",5250.43384620175,52504.3384620175
"88","EutMac","Field","MVD10",NA,"MVD","F","AF",2,"FBlack","JPA",13,237,237,0,0.4991,0.4991,"N","",47,"N",5250.43384620175,68255.6400006227
"89","EutMac","Field","VH20","VH",NA,"F","BF",2,"FBlack","JPA",14,244,245,1,0.5536,0.5953,"N","",45,"N",5250.43384620175,73506.0738468244
"90","EutMac","Field","MVD10",NA,"MVD","F","AF",2,"FBlack","JPA",13,237,242,5,0.4761,0.4991,"N","",47,"N",5250.43384620175,68255.6400006227
"91","EutMac","Field","VH10","VH",NA,"F","BF",2,"FBlack","JPA",14,244,244,0,0.5959,0.5959,"N","",51,"N",5250.43384620175,73506.0738468244
"92","EutMac","Field","VH20","VH",NA,"F","BF",2,"FBlack","JPA",14,244,244,0,0.5953,0.5953,"N","",45,"N",5250.43384620175,73506.0738468244
"93","EutMac","Field","TWA17",NA,"TWA","F","AF",2,"FBlack","JPA",13,237,244,7,0.3761,0.4956,"N","",46,"N",5250.43384620175,68255.6400006227
"94","EutMac","Field","Jacob9",NA,"Jacob","F","AF",2,"FBlack","JPC",10,239,239,0,0.4325,0.4325,"Y","",44,"N",5250.43384620175,52504.3384620175
"95","EutMac","Field","VH20","VH",NA,"F","BF",2,"FBlack","JPA",14,244,251,7,0.45,0.5953,"N","",45,"N",5250.43384620175,73506.0738468244
"96","EutMac","Field","VH20","VH",NA,"F","BF",2,"FBlack","JPA",14,244,254,10,0.3905,0.5953,"N","",45,"N",5250.43384620175,73506.0738468244
"97","EutMac","Field","TWA1",NA,"TWA","F","AF",2,"FBlack","JPC",10,239,240,1,0.4494,0.5292,"N","",46,"N",5250.43384620175,52504.3384620175
"98","EutMac","Field","VH1","VH",NA,"F","AF",2,"FBlack","JPB",12,238,238,0,0.5273,0.5273,"N","",48,"N",5250.43384620175,63005.206154421
"99","EutMac","Field","Jacob9",NA,"Jacob","F","AF",2,"FBlack","JPC",10,239,240,1,0.3753,0.4325,"Y","",44,"N",5250.43384620175,52504.3384620175
"100","EutMac","Field","MVD10",NA,"MVD","F","AF",2,"FBlack","JPA",13,237,244,7,0.4671,0.4991,"N","",47,"N",5250.43384620175,68255.6400006227
"101","EutMac","Field","VH1","VH",NA,"F","AF",2,"FBlack","JPB",12,238,243,5,0.4048,0.5273,"N","",48,"N",5250.43384620175,63005.206154421
"102","EutMac","Field","VH17","VH",NA,"F","BF",1,"FBlack","JPC",14,246,246,0,0.5321,0.5321,"N","",48,"N",5250.43384620175,73506.0738468244
"103","EutMac","Field","VH1","VH",NA,"F","AF",2,"FBlack","JPB",12,238,239,1,0.4504,0.5273,"N","",48,"N",5250.43384620175,63005.206154421
"104","EutMac","Field","TWA1",NA,"TWA","F","AF",2,"FBlack","JPC",10,239,246,7,0.3866,0.5292,"N","",46,"N",5250.43384620175,52504.3384620175
"105","EutMac","Field","VH1","VH",NA,"F","AF",2,"FBlack","JPB",12,238,245,7,0.3865,0.5273,"N","",48,"N",5250.43384620175,63005.206154421
"106","EutMac","Field","TWA1",NA,"TWA","F","AF",2,"FBlack","JPC",10,239,244,5,0.3787,0.5292,"N","",46,"N",5250.43384620175,52504.3384620175
"107","EutMac","Field","TWA17",NA,"TWA","F","AF",2,"FBlack","JPA",13,237,238,1,0.4116,0.4956,"N","",46,"N",5250.43384620175,68255.6400006227
"108","EutMac","Field","TWA17",NA,"TWA","F","AF",2,"FBlack","JPA",13,237,242,5,0.3959,0.4956,"N","",46,"N",5250.43384620175,68255.6400006227
"109","HelHel","GH","MVD4",NA,"MVD","F","A",1,"White",NA,20,235,242,7,0.3316,0.4989,"Y","Feeding days 6+7, D7 wing tip damaged",44,"N",62.0204058693124,1240.40811738625
"110","HelHel","GH","TWA21",NA,"TWA","F","A",1,"Black",NA,12,235,235,0,0.4702,0.4702,"Y","Feeding days 6+7",46,"N",62.0204058693124,744.244870431749
"111","HelHel","GH","MVD4",NA,"MVD","F","A",1,"White",NA,20,235,235,0,0.4989,0.4989,"Y","Feeding days 6+7, D7 wing tip damaged",44,"N",62.0204058693124,1240.40811738625
"112","HelHel","GH","PCD55",NA,"PCD","F","A",1,"Black",NA,20,235,240,5,0.3795,0.5427,"Y","Feeding days 5+6",46,"N",62.0204058693124,1240.40811738625
"113","HelHel","GH","PCD55",NA,"PCD","F","A",1,"Black",NA,20,235,235,0,0.5427,0.5427,"Y","Feeding days 5+6",46,"N",62.0204058693124,1240.40811738625
"114","HelHel","GH","MVD4",NA,"MVD","F","A",1,"White",NA,20,235,240,5,0.2606,0.4989,"Y","Feeding days 6+7, D7 wing tip damaged",44,"N",62.0204058693124,1240.40811738625
"115","HelHel","GH","PCD55",NA,"PCD","F","A",1,"Black",NA,20,235,242,7,0.343,0.5427,"Y","Feeding days 5+6",46,"N",62.0204058693124,1240.40811738625
"116","HelHel","GH","VH5","VH",NA,"F","B",1,"White",NA,31,243,243,0,0.6431,0.6431,"N","",51,"N",62.0204058693124,1922.63258194868
"117","HelHel","GH","VH5","VH",NA,"F","B",1,"White",NA,31,243,250,7,0.3329,0.6431,"N","",51,"N",62.0204058693124,1922.63258194868
